Customer ID,Item ID,Qty,Stocking U/M,Amount,period
Advert,FG - CC - Medium X24,250.0,,500000.0,Dec-25
Advert,FG - CC - Mini X72,340.0,Pack,1020000.0,Dec-25
AO,BB BIG - X24,1472.0,,2679040.0,Dec-25
AO,FG - CC - Medium X24,1347.0,,2559300.0,Dec-25
AO,FG - CC - Mini X72,361.0,Pack,1028850.0,Dec-25
AO,FG/N - BB BIG X12,717.0,Bag,1304940.0,Dec-25
AO,FG/N - PP BIG,204.0,Bag,2550000.0,Dec-25
AO,POKI DEL,1577.0,,2870140.0,Dec-25
AS,BB BIG - X24,725.0,,1319500.0,Dec-25
AS,FG/N - BB BIG X12,150.0,Bag,273000.0,Dec-25
AS,FG/N - PP BIG,76.0,Bag,950000.0,Dec-25
AS,POKI DEL,453.0,,824460.0,Dec-25
DAM,BB BIG - X24,3.0,,6000.0,Dec-25
DAM,FG/N - BB BIG X12,6.0,Bag,12000.0,Dec-25
DAM,FG/N - PP BIG,0.95,Bag,13000.0,Dec-25
DE,BB BIG - X24,911.0,,1658020.0,Dec-25
DE,FG - CC - Medium X24,43.0,,81700.0,Dec-25
DE,FG - CC - Mini X72,18.0,Pack,51300.0,Dec-25
DE,FG/N - BB BIG X12,748.0,Bag,1361360.0,Dec-25
DE,FG/N - PP BIG,34.0,Bag,425000.0,Dec-25
DE,POKI DEL,126.0,,229320.0,Dec-25
DV,BB BIG - X24,610.0,,1110200.0,Dec-25
DV,FG - CC - Medium X24,384.0,,729600.0,Dec-25
DV,FG - CC - Mini X72,68.0,Pack,193800.0,Dec-25
DV,FG/N - BB BIG X12,290.0,Bag,527800.0,Dec-25
DV,FG/N - PP BIG,19.0,Bag,237500.0,Dec-25
DV,POKI DEL,270.0,,491400.0,Dec-25
Edith,BB BIG - X24,2278.0,,4145960.0,Dec-25
Edith,FG - CC - Medium X24,15.0,,28500.0,Dec-25
Edith,FG - CC - Mini X72,5.0,Pack,14250.0,Dec-25
Edith,FG/N - BB BIG X12,1465.0,Bag,2666300.0,Dec-25
Edith,FG/N - PP BIG,358.0,Bag,4475000.0,Dec-25
Edith,POKI DEL,1845.0,,3357900.0,Dec-25
EM,BB BIG - X24,824.0,,1499680.0,Dec-25
EM,FG - CC - Medium X24,271.0,,514900.0,Dec-25
EM,FG - CC - Mini X72,38.0,Pack,108300.0,Dec-25
EM,FG/N - BB BIG X12,753.0,Bag,1370460.0,Dec-25
EM,FG/N - PP BIG,129.0,Bag,1612500.0,Dec-25
EM,POKI DEL,771.0,,1403220.0,Dec-25
ENE,,,,1500000.0,Dec-25
ENE,BB BIG - X24,1330.0,,2420600.0,Dec-25
ENE,FG - CC - Mini X72,20.0,Pack,57000.0,Dec-25
ENE,FG/N - BB BIG X12,970.0,Bag,1765400.0,Dec-25
ENE,FG/N - PP BIG,217.0,Bag,2712500.0,Dec-25
ENE,POKI DEL,1420.0,,2584400.0,Dec-25
EU,BB BIG - X24,895.0,,1628900.0,Dec-25
EU,FG - CC - Medium X24,453.0,,860700.0,Dec-25
EU,FG - CC - Mini X72,80.0,Pack,228000.0,Dec-25
EU,FG/N - BB BIG X12,821.0,Bag,1494220.0,Dec-25
